Gen 1:1
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἕκτῃ A1--DSF--- ἕκτος
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός
ἃ RR--APN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
καὶ C--------- καί
κατέπαυσεν VAI-AAI3S- παύω κατα
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἑβδόμῃ A1--DSF--- ἕβδομος
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἔργων N2N-GPN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός
ὧν RR--GPN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω

Gen 2:3
καὶ C--------- καί
ηὐλόγησεν VAI-AAI3S- εὐλογέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
τὴν RA--ASF--- ὁ
ἑβδόμην A1--ASF--- ἕβδομος
καὶ C--------- καί
ἡγίασεν VAI-AAI3S- ἁγιάζω
αὐτήν RD--ASF--- αὐτός
ὅτι C--------- ὅτι
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
κατέπαυσεν VAI-AAI3S- παύω κατα
ἀπὸ P--------- ἀπό
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
ἔργων N2N-GPN--- ἔργον
αὐτοῦ RD--GSM--- αὐτός
ὧν RR--GPN--- ὅς
ἤρξατο VAI-AMI3S- ἄρχω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ποιῆσαι VA--AAN--- ποιέω

Gen 2:4
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
βίβλος N2--NSF--- βίβλος
γενέσεως N3I-GSF--- γένεσις
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
γῆς N1--GSF--- γῆ
ὅτε D--------- ὅτε
ἐγένετο VBI-AMI3S- γίγνομαι
ᾗ RR--DSF--- ὅς
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Gen 2:5
καὶ C--------- καί
πᾶν A3--ASN--- πᾶς
χλωρὸν A1A-ASN--- χλωρός
ἀγροῦ N2--GSM--- ἀγρός
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
γενέσθαι VB--AMN--- γίγνομαι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
χόρτον N2--ASM--- χόρτος
ἀγροῦ N2--GSM--- ἀγρός
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
ἀνατεῖλαι VA--AAN--- τέλλω ἀνα
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἔβρεξεν VAI-AAI3S- βρέχω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἄνθρωπος N2--NSM--- ἄνθρωπος
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἐργάζεσθαι V1--PMN--- ἐργάζομαι
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Gen 2:6
πηγὴ N1--NSF--- πηγή
δὲ X--------- δέ
ἀνέβαινεν V1I-IAI3S- βαίνω ἀνα
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐπότιζεν V1I-IAI3S- ποτίζω
πᾶν A3--ASN--- πᾶς
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Gen 2:7
καὶ C--------- καί
ἔπλασεν VAI-AAI3S- πλάσσω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
χοῦν N3--ASM--- χοῦς
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐνεφύσησεν VAI-AAI3S- φυσάω ἐν
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
πνοὴν N1--ASF--- πνοή
ζωῆς N1--GSF--- ζωή
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
εἰς P--------- εἰς
ψυχὴν N1--ASF--- ψυχή
ζῶσαν V3--PAPASF ζάω

Gen 2:8
καὶ C--------- καί
ἐφύτευσεν VAI-AAI3S- φυτεύω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
παράδεισον N2--ASM--- παράδεισος
ἐν P--------- ἐν
Εδεμ N---DS---- Εδεμ
κατὰ P--------- κατά
ἀνατολὰς N1--APF--- ἀνατολή
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
ἐκεῖ D--------- ἐκεῖ
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ἔπλασεν VAI-AAI3S- πλάσσω

Gen 2:9
καὶ C--------- καί
ἐξανέτειλεν VAI-AAI3S- τέλλω ἐκ ἀνα
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἔτι D--------- ἔτι
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
πᾶν A3--ASN--- πᾶς
ξύλον N2N-ASN--- ξύλον
ὡραῖον A1A-ASN--- ὡραῖος
εἰς P--------- εἰς
ὅρασιν N3I-ASF--- ὅρασις
καὶ C--------- καί
καλὸν A1--ASM--- καλός
εἰς P--------- εἰς
βρῶσιν N3I-ASF--- βρῶσις
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ξύλον N2N-NSN--- ξύλον
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τῷ RA--DSM--- ὁ
παραδείσῳ N2--DSM--- παράδεισος
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ξύλον N2N-ASN--- ξύλον
τοῦ RA--GSN--- ὁ
εἰδέναι VX--XAN--- οἶδα
γνωστὸν A1--ASN--- γνωστός
καλοῦ A1--GSM--- καλός
καὶ C--------- καί
πονηροῦ A1A-GSM--- πονηρός

Gen 2:10
ποταμὸς N2--NSM--- ποταμός
δὲ X--------- δέ
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
ἐξ P--------- ἐκ
Εδεμ N---GS---- Εδεμ
ποτίζειν V1--PAN--- ποτίζω
τὸν RA--ASM--- ὁ
παράδεισον N2--ASM--- παράδεισος
ἐκεῖθεν D--------- ἐκεῖθεν
ἀφορίζεται V1--PMI3S- ὁρίζω ἀπο
εἰς P--------- εἰς
τέσσαρας A3--APF--- τέσσαρες
ἀρχάς N1--APF--- ἀρχή

Gen 2:11
ὄνομα N3M-NSN--- ὄνομα
τῷ RA--DSM--- ὁ
ἑνὶ A3--DSM--- εἷς
Φισων N---NS---- Φισων
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
κυκλῶν V4--PAPNSM κυκλόω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
Ευιλατ N---GS---- Ευιλατ
ἐκεῖ D--------- ἐκεῖ
οὗ RR--GSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
τὸ RA--NSN--- ὁ
χρυσίον N2N-NSN--- χρυσίον

Gen 2:12
τὸ RA--ASN--- ὁ
δὲ X--------- δέ
χρυσίον N2N-ASN--- χρυσίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐκείνης RD--GSF--- ἐκεῖνος
καλόν A1--ASM--- καλός
καὶ C--------- καί
ἐκεῖ D--------- ἐκεῖ
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἄνθραξ N3K-NSM--- ἄνθραξ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λίθος N2--NSM--- λίθος
ὁ RA--NSM--- ὁ
πράσινος N2--NSM--- πράσινος

Gen 2:13
καὶ C--------- καί
ὄνομα N3M-ASN--- ὄνομα
τῷ RA--DSM--- ὁ
ποταμῷ N2--DSM--- ποταμός
τῷ RA--DSM--- ὁ
δευτέρῳ A1A-DSM--- δεύτερος
Γηων N---NS---- Γηων
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
κυκλῶν V4--PAPNSM κυκλόω
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
Αἰθιοπίας N1A-GSF--- Αἰθιοπία

Gen 2:14
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ποταμὸς N2--NSM--- ποταμός
ὁ RA--NSM--- ὁ
τρίτος A1--NSM--- τρίτος
Τίγρις N---NS---- Τίγρις
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
πορευόμενος V1--PMPNSM πορεύομαι
κατέναντι P--------- κατέναντι
Ἀσσυρίων N2--GPM--- Ἀσσύριος
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
ποταμὸς N2--NSM--- ποταμός
ὁ RA--NSM--- ὁ
τέταρτος A1--NSM--- τέταρτος
οὗτος RD--NSM--- οὗτος
Εὐφράτης N1M-NSM--- Εὐφράτης

Gen 2:15
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ὃν RR--ASM--- ὅς
ἔπλασεν VAI-AAI3S- πλάσσω
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
παραδείσῳ N2--DSM--- παράδεισος
ἐργάζεσθαι V1--PMN--- ἐργάζομαι
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
φυλάσσειν V1--PAN--- φυλάσσω

Gen 2:16
καὶ C--------- καί
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Αδαμ N---DSM--- Αδαμ
λέγων V1--PAPNSM λέγω
ἀπὸ P--------- ἀπό
παντὸς A3--GSN--- πᾶς
ξύλου N2N-GSN--- ξύλον
τοῦ RA--GSN--- ὁ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
παραδείσῳ N2--DSM--- παράδεισος
βρώσει N3I-DSF--- βρῶσις
φάγῃ VF--FMI2S- ἐσθίω

Gen 2:17
ἀπὸ P--------- ἀπό
δὲ X--------- δέ
τοῦ RA--GSN--- ὁ
ξύλου N2N-GSN--- ξύλον
τοῦ RA--GSN--- ὁ
γινώσκειν V1--PAN--- γιγνώσκω
καλὸν A1--ASN--- καλός
καὶ C--------- καί
πονηρόν A1A-ASN--- πονηρός
οὐ D--------- οὐ
φάγεσθε VF--FMI2P- ἐσθίω
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός
ᾗ RR--DSF--- ὅς
δ' X--------- δέ
ἂν X--------- ἄν
ἡμέρᾳ N1A-DSF--- ἡμέρα
φάγητε VB--AAS2P- ἐσθίω
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός
θανάτῳ N2--DSM--- θάνατος
ἀποθανεῖσθε VF2-FMI2P- θνήσκω ἀπο

Gen 2:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
οὐ D--------- οὐ
καλὸν A1--ASN--- καλός
εἶναι V9--PAN--- εἰμί
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
μόνον D--------- μόνον
ποιήσωμεν VA--AAS1P- ποιέω
αὐτῷ RD--DSM--- αὐτός
βοηθὸν N2--ASM--- βοηθός
κατ' P--------- κατά
αὐτόν RD--ASM--- αὐτός

Gen 2:19
καὶ C--------- καί
ἔπλασεν VAI-AAI3S- πλάσσω
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἔτι D--------- ἔτι
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
θηρία N2N-APN--- θηρίον
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
πετεινὰ N2N-APN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
ἤγαγεν VBI-AAI3S- ἄγω
αὐτὰ RD--APN--- αὐτός
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
Αδαμ N---ASM--- Αδαμ
ἰδεῖν VB--AAN--- ὁράω
τί RI--ASN--- τίς
καλέσει VF--FAI3S- καλέω
αὐτά RD--APN--- αὐτός
καὶ C--------- καί
πᾶν A3--NSN--- πᾶς
ὃ RR--ASN--- ὅς
ἐὰν C--------- ἐάν
ἐκάλεσεν VAI-AAI3S- καλέω
αὐτὸ RD--ASN--- αὐτός
Αδαμ N---NSM--- Αδαμ
ψυχὴν N1--ASF--- ψυχή
ζῶσαν V3--PAPASF ζάω
τοῦτο RD--ASN--- οὗτος
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός

Gen 2:20
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Αδαμ N---NSM--- Αδαμ
ὀνόματα N3M-APN--- ὄνομα
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
κτήνεσιν N3E-DPN--- κτῆνος
καὶ C--------- καί
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
πετεινοῖς N2N-DPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
θηρίοις N2N-DPN--- θηρίον
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
τῷ RA--DSM--- ὁ
δὲ X--------- δέ
Αδαμ N---DSM--- Αδαμ
οὐχ D--------- οὐ
εὑρέθη VC--API3S- εὑρίσκω
βοηθὸς N2--NSM--- βοηθός
ὅμοιος A1A-NSM--- ὅμοιος
αὐτῷ RD--DSM--- αὐτός

Gen 2:21
καὶ C--------- καί
ἐπέβαλεν VBI-AAI3S- βάλλω ἐπι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἔκστασιν N3I-ASF--- ἔκστασις
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Αδαμ N---NSM--- Αδαμ
καὶ C--------- καί
ὕπνωσεν VAI-AAI3S- ὑπνόω
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
μίαν A1A-ASF--- εἷς
τῶν RA--GPF--- ὁ
πλευρῶν N1A-GPF--- πλευρά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀνεπλήρωσεν VAI-AAI3S- πληρόω ἀνα
σάρκα N3K-ASF--- σάρξ
ἀντ' P--------- ἀντί
αὐτῆς RD--GSF--- αὐτός

Gen 2:22
καὶ C--------- καί
ᾠκοδόμησεν VAI-AAI3S- οἰκοδομέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὴν RA--ASF--- ὁ
πλευράν N1A-ASF--- πλευρά
ἣν RR--ASF--- ὅς
ἔλαβεν VBI-AAI3S- λαμβάνω
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
Αδαμ N---GSM--- Αδαμ
εἰς P--------- εἰς
γυναῖκα N3K-ASF--- γυνή
καὶ C--------- καί
ἤγαγεν VBI-AAI3S- ἄγω
αὐτὴν RD--ASF--- αὐτός
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
Αδαμ N---ASM--- Αδαμ

Gen 2:23
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αδαμ N---NSM--- Αδαμ
τοῦτο RD--NSN--- οὗτος
νῦν D--------- νῦν
ὀστοῦν N2N-NSN--- ὀστέον
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
ὀστέων N2N-GPN--- ὀστέον
μου RP--GS---- ἐγώ
καὶ C--------- καί
σὰρξ N3K-NSF--- σάρξ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
σαρκός N3K-GSF--- σάρξ
μου RP--GS---- ἐγώ
αὕτη RD--NSF--- οὗτος
κληθήσεται VC--FPI3S- καλέω
γυνή N3K-NSF--- γυνή
ὅτι C--------- ὅτι
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
ἀνδρὸς N3--GSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
ἐλήμφθη VVI-API3S- λαμβάνω
αὕτη RD--NSF--- οὗτος

Gen 2:24
ἕνεκεν P--------- ἕνεκεν
τούτου RD--GSN--- οὗτος
καταλείψει VF--FAI3S- λείπω κατα
ἄνθρωπος N2--NSM--- ἄνθρωπος
τὸν RA--ASM--- ὁ
πατέρα N3--ASM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
προσκολληθήσεται VC--FPI3S- κολλάω προς
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
οἱ RA--NPM--- ὁ
δύο M--------- δύο
εἰς P--------- εἰς
σάρκα N3K-ASF--- σάρξ
μίαν A1A-ASF--- εἷς

Gen 2:25
καὶ C--------- καί
ἦσαν V9--IAI3P- εἰμί
οἱ RA--NPM--- ὁ
δύο M--------- δύο
γυμνοί A1--NPM--- γυμνός
ὅ RR--NSN--- ὅς
τε X--------- τε
Αδαμ N---NSM--- Αδαμ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ᾐσχύνοντο V1I-IMI3P- αἰσχύνω

Gen 3:1
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
ὄφις N3I-NSM--- ὄφις
ἦν V9--IAI3S- εἰμί
φρονιμώτατος A1B-NSMS-- φρόνιμος
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
τῶν RA--GPN--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὧν RR--GPN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ὄφις N3I-NSM--- ὄφις
τῇ RA--DSF--- ὁ
γυναικί N3K-DSF--- γυνή
τί RI--ASN--- τίς
ὅτι C--------- ὅτι
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
οὐ D--------- οὐ
μὴ D--------- μή
φάγητε VB--AAS2P- ἐσθίω
ἀπὸ P--------- ἀπό
παντὸς A3--GSN--- πᾶς
ξύλου N2N-GSN--- ξύλον
τοῦ RA--GSN--- ὁ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
παραδείσῳ N2--DSM--- παράδεισος

Gen 3:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
τῷ RA--DSM--- ὁ
ὄφει N3I-DSM--- ὄφις
ἀπὸ P--------- ἀπό
καρποῦ N2--GSM--- καρπός
ξύλου N2N-GSN--- ξύλον
τοῦ RA--GSM--- ὁ
παραδείσου N2--GSM--- παράδεισος
φαγόμεθα VF--FMI1P- ἐσθίω

Gen 3:3
ἀπὸ P--------- ἀπό
δὲ X--------- δέ
καρποῦ N2--GSM--- καρπός
τοῦ RA--GSN--- ὁ
ξύλου N2N-GSN--- ξύλον
ὅ RR--NSN--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
τοῦ RA--GSM--- ὁ
παραδείσου N2--GSM--- παράδεισος
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
οὐ D--------- οὐ
φάγεσθε VF--FMI2P- ἐσθίω
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός
οὐδὲ C--------- οὐδέ
μὴ D--------- μή
ἅψησθε VA--AMS2P- ἅπτομαι
αὐτοῦ RD--GSM--- αὐτός
ἵνα C--------- ἵνα
μὴ D--------- μή
ἀποθάνητε VB--AAS2P- θνήσκω ἀπο

Gen 3:4
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ὄφις N3I-NSM--- ὄφις
τῇ RA--DSF--- ὁ
γυναικί N3K-DSF--- γυνή
οὐ D--------- οὐ
θανάτῳ N2--DSM--- θάνατος
ἀποθανεῖσθε VF2-FMI2P- θνήσκω ἀπο

Gen 3:5
ᾔδει VXI-YAI3S- οἶδα
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὅτι C--------- ὅτι
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
ἂν X--------- ἄν
ἡμέρᾳ N1A-DSF--- ἡμέρα
φάγητε VB--AAS2P- ἐσθίω
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός
διανοιχθήσονται VQ--FPI3P- οἴγω δια ἀνα
ὑμῶν RP--GP---- σύ
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
καὶ C--------- καί
ἔσεσθε VF--FMI2P- εἰμί
ὡς C--------- ὡς
θεοὶ N2--NPM--- θεός
γινώσκοντες V1--PAPNPM γιγνώσκω
καλὸν A1--ASN--- καλός
καὶ C--------- καί
πονηρόν A1A-ASN--- πονηρός

Gen 3:6
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
ὅτι C--------- ὅτι
καλὸν A1--NSN--- καλός
τὸ RA--NSN--- ὁ
ξύλον N2N-NSN--- ξύλον
