Jer 1:1
καταλιπεῖν VB--AAN--- λείπω κατα
σε RP--AS---- σύ
ἐμέ RP--AS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ

Jer 2:18
καὶ C--------- καί
νῦν D--------- νῦν
τί RI--ASN--- τίς
σοι RP--DS---- σύ
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
Αἰγύπτου N2--GSF--- Αἴγυπτος
τοῦ RA--GSN--- ὁ
πιεῖν VB--AAN--- πίνω
ὕδωρ N3--ASN--- ὕδωρ
Γηων N---GSF--- Γηων
καὶ C--------- καί
τί RI--ASN--- τίς
σοι RP--DS---- σύ
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
Ἀσσυρίων N2--GPM--- Ἀσσύριος
τοῦ RA--GSN--- ὁ
πιεῖν VB--AAN--- πίνω
ὕδωρ N3--ASN--- ὕδωρ
ποταμῶν N2--GPM--- ποταμός

Jer 2:19
παιδεύσει VF--FAI3S- παιδεύω
σε RP--AS---- σύ
ἡ RA--NSF--- ὁ
ἀποστασία N1A-NSF--- ἀποστασία
σου RP--GS---- σύ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
κακία N1A-NSF--- κακία
σου RP--GS---- σύ
ἐλέγξει VF--FAI3S- ἐλέγχω
σε RP--AS---- σύ
καὶ C--------- καί
γνῶθι VZ--AAD2S- γιγνώσκω
καὶ C--------- καί
ἰδὲ VB--AAD2S- ὁράω
ὅτι C--------- ὅτι
πικρόν A1A-NSN--- πικρός
σοι RP--DS---- σύ
τὸ RA--NSN--- ὁ
καταλιπεῖν VB--AAN--- λείπω κατα
σε RP--AS---- σύ
ἐμέ RP--AS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
εὐδόκησα VA--AAI1S- εὐδοκέω
ἐπὶ P--------- ἐπί
σοί RP--DS---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ

Jer 2:20
ὅτι C--------- ὅτι
ἀπ' P--------- ἀπό
αἰῶνος N3W-GSM--- αἰών
συνέτριψας VAI-AAI2S- τρίβω συν
τὸν RA--ASM--- ὁ
ζυγόν N2--ASM--- ζυγός
σου RP--GS---- σύ
διέσπασας VAI-AAI2S- σπάω δια
τοὺς RA--APM--- ὁ
δεσμούς N2--APM--- δεσμός
σου RP--GS---- σύ
καὶ C--------- καί
εἶπας VAI-AAI2S- εἶπον
οὐ D--------- οὐ
δουλεύσω VF--FAI1S- δουλεύω
ἀλλὰ C--------- ἀλλά
πορεύσομαι VF--FMI1S- πορεύομαι
ἐπὶ P--------- ἐπί
πᾶν A3--ASM--- πᾶς
βουνὸν N2--ASM--- βουνός
ὑψηλὸν A1--ASM--- ὑψηλός
καὶ C--------- καί
ὑποκάτω D--------- ὑποκάτω
παντὸς A3--GSN--- πᾶς
ξύλου N2N-GSN--- ξύλον
κατασκίου A1B-GSN--- κατάσκιος
ἐκεῖ D--------- ἐκεῖ
διαχυθήσομαι VC--FPI1S- χέω δια
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πορνείᾳ N1A-DSF--- πορνεία
μου RP--GS---- ἐγώ

Jer 2:21
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
ἐφύτευσά VAI-AAI1S- φυτεύω
σε RP--AS---- σύ
ἄμπελον N2--ASF--- ἄμπελος
καρποφόρον A1--ASF--- καρποφόρος
πᾶσαν A1S-ASF--- πᾶς
ἀληθινήν A1--ASF--- ἀληθινός
πῶς D--------- πῶς
ἐστράφης VDI-API2S- στρέφω
εἰς P--------- εἰς
πικρίαν N1A-ASF--- πικρία
ἡ RA--NSF--- ὁ
ἄμπελος N2--NSF--- ἄμπελος
ἡ RA--NSF--- ὁ
ἀλλοτρία A1A-NSF--- ἀλλότριος

Jer 2:22
ἐὰν C--------- ἐάν
ἀποπλύνῃ V1--PMS2S- πλύνω ἀπο
ἐν P--------- ἐν
νίτρῳ N2N-DSN--- νίτρον
καὶ C--------- καί
πληθύνῃς V1--PAS2S- πληθύνω
σεαυτῇ RD--DSF--- σεαυτοῦ
πόαν N1A-ASF--- πόα
κεκηλίδωσαι VX--XMI2S- κηλιδόω
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀδικίαις N1A-DPF--- ἀδικία
σου RP--GS---- σύ
ἐναντίον P--------- ἐναντίον
ἐμοῦ RP--GS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 2:23
πῶς D--------- πῶς
ἐρεῖς VF2-FAI2S- εἶπον
οὐκ D--------- οὐ
ἐμιάνθην VCI-API1S- μιαίνω
καὶ C--------- καί
ὀπίσω P--------- ὀπίσω
τῆς RA--GSF--- ὁ
Βααλ N---GSF--- Βααλ
οὐκ D--------- οὐ
ἐπορεύθην VCI-API1S- πορεύομαι
ἰδὲ VB--AAD2S- ὁράω
τὰς RA--APF--- ὁ
ὁδούς N2--APF--- ὁδός
σου RP--GS---- σύ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πολυανδρίῳ N2N-DSN--- πολυανδρῖον
καὶ C--------- καί
γνῶθι VZ--AAD2S- γιγνώσκω
τί RI--ASN--- τίς
ἐποίησας VAI-AAI2S- ποιέω
ὀψὲ D--------- ὀψέ
φωνὴ N1--NSF--- φωνή
αὐτῆς RD--GSF--- αὐτός
ὠλόλυξεν VAI-AAI3S- ὀλολύζω
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
αὐτῆς RD--GSF--- αὐτός

Jer 2:24
ἐπλάτυνεν V1I-IAI3S- πλατύνω
ἐφ' P--------- ἐπί
ὕδατα N3--APN--- ὕδωρ
ἐρήμου N2--GSF--- ἔρημος
ἐν P--------- ἐν
ἐπιθυμίαις N1A-DPF--- ἐπιθυμία
ψυχῆς N1--GSF--- ψυχή
αὐτῆς RD--GSF--- αὐτός
ἐπνευματοφορεῖτο V2I-IMI3S- πνευματοφορέω
παρεδόθη VCI-API3S- δίδωμι παρα
τίς RI--NSM--- τίς
ἐπιστρέψει VF--FAI3S- στρέφω ἐπι
αὐτήν RD--ASF--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ζητοῦντες V2--PAPNPM ζητέω
αὐτὴν RD--ASF--- αὐτός
οὐ D--------- οὐ
κοπιάσουσιν VF--FAI3P- κοπιάω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ταπεινώσει N3I-DSF--- ταπείνωσις
αὐτῆς RD--GSF--- αὐτός
εὑρήσουσιν VF--FAI3P- εὑρίσκω
αὐτήν RD--ASF--- αὐτός

Jer 2:25
ἀπόστρεψον VA--AAD2S- στρέφω ἀπο
τὸν RA--ASM--- ὁ
πόδα N3D-ASM--- πούς
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
ὁδοῦ N2--GSF--- ὁδός
τραχείας A3U-GSF--- τραχύς
καὶ C--------- καί
τὸν RA--ASM--- ὁ
φάρυγγά N3G-ASM--- φάρυγξ
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
δίψους N3E-GSN--- δίψος
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
ἀνδριοῦμαι VF2-FMI1S- ἀνδρίζομαι
ὅτι C--------- ὅτι
ἠγαπήκει VX--XAI3S- ἀγαπάω
ἀλλοτρίους A1A-APM--- ἀλλότριος
καὶ C--------- καί
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός
ἐπορεύετο V1I-IMI3S- πορεύομαι

Jer 2:26
ὡς C--------- ὡς
αἰσχύνη N1--NSF--- αἰσχύνη
κλέπτου N1M-GSM--- κλέπτης
ὅταν D--------- ὅταν
ἁλῷ VZ--AAS3S- ἁλίσκω
οὕτως D--------- οὕτως
αἰσχυνθήσονται VC--FPI3P- αἰσχύνω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
αὐτῶν RD--GPM--- αὐτός

Jer 2:27
τῷ RA--DSN--- ὁ
ξύλῳ N2N-DSN--- ξύλον
εἶπαν VAI-AAI3P- εἶπον
ὅτι C--------- ὅτι
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ
εἶ V9--PAI2S- εἰμί
σύ RP--NS---- σύ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
λίθῳ N2--DSM--- λίθος
σὺ RP--NS---- σύ
ἐγέννησάς VAI-AAI2S- γεννάω
με RP--AS---- ἐγώ
καὶ C--------- καί
ἔστρεψαν VAI-AAI3P- στρέφω
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
νῶτα N2N-APN--- νῶτον
καὶ C--------- καί
οὐ D--------- οὐ
πρόσωπα N2N-APN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
τῶν RA--GPM--- ὁ
κακῶν A1--GPM--- κακός
αὐτῶν RD--GPM--- αὐτός
ἐροῦσιν VF2-FAI3P- εἶπον
ἀνάστα VH--AAD2S- ἵστημι ἀνα
καὶ C--------- καί
σῶσον VA--AAD2S- σώζω
ἡμᾶς RP--AP---- ἐγώ

Jer 2:28
καὶ C--------- καί
ποῦ D--------- ποῦ
εἰσιν V9--PAI3P- εἰμί
οἱ RA--NPM--- ὁ
θεοί N2--NPM--- θεός
σου RP--GS---- σύ
οὓς RR--APM--- ὅς
ἐποίησας VAI-AAI2S- ποιέω
σεαυτῷ RD--DSM--- σεαυτοῦ
εἰ C--------- εἰ
ἀναστήσονται VF--FMI3P- ἵστημι ἀνα
καὶ C--------- καί
σώσουσίν VF--FAI3P- σώζω
σε RP--AS---- σύ
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
τῆς RA--GSF--- ὁ
κακώσεώς N3I-GSF--- κάκωσις
σου RP--GS---- σύ
ὅτι C--------- ὅτι
κατ' P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
τῶν RA--GPF--- ὁ
πόλεών N3I-GPF--- πόλις
σου RP--GS---- σύ
ἦσαν V9--IAI3P- εἰμί
θεοί N2--NPM--- θεός
σου RP--GS---- σύ
Ιουδα N---VSM--- Ιουδα
καὶ C--------- καί
κατ' P--------- κατά
ἀριθμὸν N2--ASM--- ἀριθμός
διόδων N2--GPF--- δίοδος
τῆς RA--GSF--- ὁ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἔθυον V1I-IAI3P- θύω
τῇ RA--DSF--- ὁ
Βααλ N---DSF--- Βααλ

Jer 2:29
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
λαλεῖτε V2--PAI2P- λαλέω
πρός P--------- πρός
με RP--AS---- ἐγώ
πάντες A3--NPM--- πᾶς
ὑμεῖς RP--NP---- σύ
ἠσεβήσατε VAI-AAI2P- ἀσεβέω
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
ὑμεῖς RP--NP---- σύ
ἠνομήσατε VAI-AAI2P- ἀνομέω
εἰς P--------- εἰς
ἐμέ RP--AS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 2:30
μάτην D--------- μάτην
ἐπάταξα VAI-AAI1S- πατάσσω
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
ὑμῶν RP--GP---- σύ
παιδείαν N1A-ASF--- παιδεία
οὐκ D--------- οὐ
ἐδέξασθε VAI-AMI2P- δέχομαι
μάχαιρα N1A-NSF--- μάχαιρα
κατέφαγεν VBI-AAI3S- ἐσθίω κατα
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
ὑμῶν RP--GP---- σύ
ὡς C--------- ὡς
λέων N3W-NSM--- λέων
ὀλεθρεύων V1--PAPNSM ὀλεθρεύω
καὶ C--------- καί
οὐκ D--------- οὐ
ἐφοβήθητε VCI-API2P- φοβέω

Jer 2:31
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
μὴ D--------- μή
ἔρημος N2--NSF--- ἔρημος
ἐγενόμην VBI-AMI1S- γίγνομαι
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
ἢ C--------- ἤ
γῆ N1--NSF--- γῆ
κεχερσωμένη VM--XMPNSF χερσεύω
διὰ P--------- διά
τί RI--ASN--- τίς
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
οὐ D--------- οὐ
κυριευθησόμεθα VC--FPI1P- κυριεύω
καὶ C--------- καί
οὐχ D--------- οὐ
ἥξομεν VF--FAI1P- ἥκω
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ἔτι D--------- ἔτι

Jer 2:32
μὴ D--------- μή
ἐπιλήσεται VF--FMI3S- λανθάνω ἐπι
νύμφη N1--NSF--- νύμφη
τὸν RA--ASM--- ὁ
κόσμον N2--ASM--- κόσμος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
παρθένος N2--NSF--- παρθένος
τὴν RA--ASF--- ὁ
στηθοδεσμίδα N3--ASF--- στηθοδεσμίς
αὐτῆς RD--GSF--- αὐτός
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ἐπελάθετό VBI-AMI3S- λανθάνω ἐπι
μου RP--GS---- ἐγώ
ἡμέρας N1A-APF--- ἡμέρα
ὧν RR--GPF--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἀριθμός N2--NSM--- ἀριθμός

Jer 2:33
τί RI--ASN--- τίς
ἔτι D--------- ἔτι
καλὸν A1--ASM--- καλός
ἐπιτηδεύσεις VF--FAI2S- τηδεύω ἐπι
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
σου RP--GS---- σύ
τοῦ RA--GSN--- ὁ
ζητῆσαι VA--AAN--- ζητέω
ἀγάπησιν N3I-ASF--- ἀγάπησις
οὐχ D--------- οὐ
οὕτως D--------- οὕτως
ἀλλὰ C--------- ἀλλά
καὶ D--------- καί
σὺ RP--NS---- σύ
ἐπονηρεύσω VAI-AMI2S- πονηρεύω
τοῦ RA--GSN--- ὁ
μιᾶναι VA--AAN--- μιαίνω
τὰς RA--APF--- ὁ
ὁδούς N2--APF--- ὁδός
σου RP--GS---- σύ

Jer 2:34
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
χερσίν N3--DPF--- χείρ
σου RP--GS---- σύ
εὑρέθησαν VC--API3P- εὑρίσκω
αἵματα N3M-APN--- αἷμα
ψυχῶν N1--GPF--- ψυχή
ἀθῴων A1B-GPF--- ἀθῷος
οὐκ D--------- οὐ
ἐν P--------- ἐν
διορύγμασιν N3M-DPN--- διόρυγμα
εὗρον VB--AAI3P- εὑρίσκω
αὐτούς RD--APM--- αὐτός
ἀλλ' C--------- ἀλλά
ἐπὶ P--------- ἐπί
πάσῃ A1S-DSF--- πᾶς
δρυί N3U-DSF--- δρῦς

Jer 2:35
καὶ C--------- καί
εἶπας VAI-AAI2S- εἶπον
ἀθῷός A1B-NSF--- ἀθῷος
εἰμι V9--PAI1S- εἰμί
ἀλλὰ C--------- ἀλλά
ἀποστραφήτω VD--APD3S- στρέφω ἀπο
ὁ RA--NSM--- ὁ
θυμὸς N2--NSM--- θυμός
αὐτοῦ RD--GSM--- αὐτός
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
κρίνομαι V1--PMI1S- κρίνω
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
λέγειν V1--PAN--- λέγω
σε RP--AS---- σύ
οὐχ D--------- οὐ
ἥμαρτον VBI-AAI1S- ἁμαρτάνω

Jer 2:36
τί RI--ASN--- τίς
κατεφρόνησας VAI-AAI2S- φρονέω κατα
σφόδρα D--------- σφόδρα
τοῦ RA--GSN--- ὁ
δευτερῶσαι VA--AAN--- δευτερόω
τὰς RA--APF--- ὁ
ὁδούς N2--APF--- ὁδός
σου RP--GS---- σύ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
Αἰγύπτου N2--GSF--- Αἴγυπτος
καταισχυνθήσῃ VC--FPI2S- αἰσχύνω κατα
καθὼς D--------- καθώς
κατῃσχύνθης VCI-API2S- αἰσχύνω κατα
ἀπὸ P--------- ἀπό
Ασσουρ N---GSM--- Ασσουρ

Jer 2:37
ὅτι C--------- ὅτι
καὶ D--------- καί
ἐντεῦθεν D--------- ἐντεῦθεν
ἐξελεύσῃ VF--FMI2S- ἔρχομαι ἐκ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
χεῖρές N3--NPF--- χείρ
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
σου RP--GS---- σύ
ὅτι C--------- ὅτι
ἀπώσατο VA--AMI3S- ὠθέω ἀπο
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
ἐλπίδα N3D-ASF--- ἐλπίς
σου RP--GS---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
εὐοδωθήσῃ VC--FPI2S- εὐοδόω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός

Jer 3:1
ἐὰν C--------- ἐάν
ἐξαποστείλῃ VA--AAS3S- στέλλω ἐκ ἀπο
ἀνὴρ N3--NSM--- ἀνήρ
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀπέλθῃ VB--AAS3S- ἔρχομαι ἀπο
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
γένηται VB--AMS3S- γίγνομαι
ἀνδρὶ N3--DSM--- ἀνήρ
ἑτέρῳ A1A-DSM--- ἕτερος
μὴ D--------- μή
ἀνακάμπτουσα V1--PAPNSF κάμπτω ἀνα
ἀνακάμψει VF--FAI3S- κάμπτω ἀνα
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
ἔτι D--------- ἔτι
οὐ D--------- οὐ
μιαινομένη V1--PMPNSF μιαίνω
μιανθήσεται VC--FPI3S- μιαίνω
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
ἐκείνη RD--NSF--- ἐκεῖνος
καὶ C--------- καί
σὺ RP--NS---- σύ
ἐξεπόρνευσας VAI-AAI2S- πορνεύω ἐκ
ἐν P--------- ἐν
ποιμέσιν N3--DPM--- ποιμήν
πολλοῖς A1--DPM--- πολύς
καὶ C--------- καί
ἀνέκαμπτες V1I-IAI2S- κάμπτω ἀνα
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 3:2
ἆρον VA--AAD2S- αἴρω
εἰς P--------- εἰς
εὐθεῖαν A3U-ASF--- εὐθύς
τοὺς RA--APM--- ὁ
ὀφθαλμούς N2--APM--- ὀφθαλμός
σου RP--GS---- σύ
καὶ C--------- καί
ἰδέ VB--AAD2S- ὁράω
ποῦ D--------- ποῦ
οὐχὶ D--------- οὐ
ἐξεφύρθης VCI-API2S- φύρω ἐκ
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
ὁδοῖς N2--DPF--- ὁδός
ἐκάθισας VAI-AAI2S- ἵζω κατα
αὐτοῖς RD--DPM--- αὐτός
ὡσεὶ D--------- ὡσεί
κορώνη N1--NSF--- κορώνη
ἐρημουμένη V4--PPPNSF ἐρημόω
καὶ C--------- καί
ἐμίανας VAI-AAI2S- μιαίνω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πορνείαις N1A-DPF--- πορνεία
σου RP--GS---- σύ
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
κακίαις N1A-DPF--- κακία
σου RP--GS---- σύ

Jer 3:3
καὶ C--------- καί
ἔσχες VBI-AAI2S- ἔχω
ποιμένας N3--APM--- ποιμήν
πολλοὺς A1--APM--- πολύς
εἰς P--------- εἰς
πρόσκομμα N3M-ASN--- πρόσκομμα
σεαυτῇ RD--DSF--- σεαυτοῦ
ὄψις N3I-NSF--- ὄψις
πόρνης N1--GSF--- πόρνη
ἐγένετό VBI-AMI3S- γίγνομαι
σοι RP--DS---- σύ
ἀπηναισχύντησας VAI-AAI3S- ἀναισχυντέω ἀπο
πρὸς P--------- πρός
πάντας A3--APM--- πᾶς

Jer 3:4
οὐχ D--------- οὐ
ὡς C--------- ὡς
οἶκόν N2--ASM--- οἶκος
με RP--AS---- ἐγώ
ἐκάλεσας VAI-AAI2S- καλέω
καὶ C--------- καί
πατέρα N3--ASM--- πατήρ
καὶ C--------- καί
ἀρχηγὸν N2--ASM--- ἀρχηγός
τῆς RA--GSF--- ὁ
παρθενίας N1A-GSF--- παρθενία
σου RP--GS---- σύ

Jer 3:5
μὴ D--------- μή
διαμενεῖ VF2-FAI3S- μένω δια
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
ἢ C--------- ἤ
διαφυλαχθήσεται VQ--FPI3S- φυλάσσω δια
εἰς P--------- εἰς
νεῖκος N3E-ASN--- νεῖκος
ἰδοὺ I--------- ἰδού
ἐλάλησας VAI-AAI2S- λαλέω
καὶ C--------- καί
ἐποίησας VAI-AAI2S- ποιέω
τὰ RA--APN--- ὁ
πονηρὰ A1A-APN--- πονηρός
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
ἠδυνάσθης VSI-API2S- δύναμαι

Jer 3:6
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Ιωσια N---GSM--- Ιωσια
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
εἶδες VBI-AAI2S- ὁράω
ἃ RR--APN--- ὅς
ἐποίησέν VAI-AAI3S- ποιέω
μοι RP--DS---- ἐγώ
ἡ RA--NSF--- ὁ
κατοικία N1A-NSF--- κατοικία
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἐπορεύθησαν VCI-API3P- πορεύομαι
ἐπὶ P--------- ἐπί
