Ezek 25:1
στενάξαι VA--AAN--- στενάζω
τραυματίας N1T-APM--- τραυματίας
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σπάσαι VA--AAN--- σπάω
μάχαιραν N1A-ASF--- μάχαιρα
ἐν P--------- ἐν
μέσῳ A1--DSM--- μέσος
σου RP--GS---- σύ
σεισθήσονται VC--FPI3P- σείω
αἱ RA--NPF--- ὁ
νῆσοι N2--NPF--- νήσος

Ezek 26:16
καὶ C--------- καί
καταβήσονται VF--FMI3P- βαίνω κατα
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
θρόνων N2--GPM--- θρόνος
αὐτῶν RD--GPM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
ἐκ P--------- ἐκ
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
καὶ C--------- καί
ἀφελοῦνται VF2-FMI3P- αἱρέω ἀπο
τὰς RA--APF--- ὁ
μίτρας N1A-APF--- μίτρα
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
κεφαλῶν N1--GPF--- κεφαλή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
ἱματισμὸν N2--ASM--- ἱματισμός
τὸν RA--ASM--- ὁ
ποικίλον A1--ASM--- ποικίλος
αὐτῶν RD--GPM--- αὐτός
ἐκδύσονται VF--FMI3P- δύω ἐκ
ἐκστάσει N3I-DSF--- ἔκστασις
ἐκστήσονται VF--FMI3P- ἵστημι ἐκ
ἐπὶ P--------- ἐπί
γῆν N1--ASF--- γῆ
καθεδοῦνται VF2-FMI3P- ἕζομαι κατα
καὶ C--------- καί
φοβηθήσονται VC--FPI3P- φοβέω
τὴν RA--ASF--- ὁ
ἀπώλειαν N1A-ASF--- ἀπώλεια
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
στενάξουσιν VF--FAI3P- στενάζω
ἐπὶ P--------- ἐπί
σέ RP--AS---- σύ

Ezek 26:17
καὶ C--------- καί
λήμψονται VF--FMI3P- λαμβάνω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
θρῆνον N2--ASM--- θρῆνος
καὶ C--------- καί
ἐροῦσίν VF2-FAI3P- εἶπον
σοι RP--DS---- σύ
πῶς D--------- πῶς
κατελύθης VCI-API2S- λύω κατα
ἐκ P--------- ἐκ
θαλάσσης N1S-GSF--- θάλασσα
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
ἡ RA--NSF--- ὁ
ἐπαινεστὴ A1--NSF--- ἐπαινεστός
ἡ RA--NSF--- ὁ
δοῦσα VO--AAPNSF δίδωμι
τὸν RA--ASM--- ὁ
φόβον N2--ASM--- φόβος
αὐτῆς RD--GSF--- αὐτός
πᾶσι A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
κατοικοῦσιν V2--PAPDPM οἰκέω κατα
αὐτήν RD--ASF--- αὐτός

Ezek 26:18
καὶ C--------- καί
φοβηθήσονται VC--FPI3P- φοβέω
αἱ RA--NPF--- ὁ
νῆσοι N2--NPF--- νήσος
ἀφ' P--------- ἀπό
ἡμέρας N1A-GSF--- ἡμέρα
πτώσεώς N3I-GSF--- πτῶσις
σου RP--GS---- σύ

Ezek 26:19
ὅτι C--------- ὅτι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος
ὅταν D--------- ὅταν
δῶ VO--AAS1S- δίδωμι
σε RP--AS---- σύ
πόλιν N3I-ASF--- πόλις
ἠρημωμένην VM--XPPASF ἐρημόω
ὡς C--------- ὡς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
τὰς RA--APF--- ὁ
μὴ D--------- μή
κατοικηθησομένας VC--FPPAPF οἰκέω κατα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀναγαγεῖν VB--AAN--- ἄγω ἀνα
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
τὴν RA--ASF--- ὁ
ἄβυσσον N2--ASF--- ἄβυσσος
καὶ C--------- καί
κατακαλύψῃ VA--AAS3S- καλύπτω κατα
σε RP--AS---- σύ
ὕδωρ N3--NSN--- ὕδωρ
πολύ A1P-NSN--- πολύς

Ezek 26:20
καὶ C--------- καί
καταβιβάσω VF--FAI1S- βιβάζω κατα
σε RP--AS---- σύ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
καταβαίνοντας V1--PAPAPM βαίνω κατα
εἰς P--------- εἰς
βόθρον N2--ASM--- βόθρος
πρὸς P--------- πρός
λαὸν N2--ASM--- λαός
αἰῶνος N3W-GSM--- αἰών
καὶ C--------- καί
κατοικιῶ VF2-FAI1S- οἰκίζω κατα
σε RP--AS---- σύ
εἰς P--------- εἰς
βάθη N3E-APN--- βάθος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὡς C--------- ὡς
ἔρημον N2--ASF--- ἔρημος
αἰώνιον A1B-ASF--- αἰώνιος
μετὰ P--------- μετά
καταβαινόντων V1--PAPGPM βαίνω κατα
εἰς P--------- εἰς
βόθρον N2--ASM--- βόθρος
ὅπως C--------- ὅπως
μὴ D--------- μή
κατοικηθῇς VC--APS2S- οἰκέω κατα
μηδὲ C--------- μηδέ
ἀνασταθῇς VC--APS2S- ἵστημι ἀνα
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ
ζωῆς N1--GSF--- ζωή

Ezek 26:21
ἀπώλειάν N1A-ASF--- ἀπώλεια
σε RP--AS---- σύ
δώσω VF--FAI1S- δίδωμι
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπάρξεις VF--FAI2S- ἄρχω ὑπο
ἔτι D--------- ἔτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
κύριος N2--NSM--- κύριος

Ezek 27:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω

Ezek 27:2
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
λαβὲ VB--AAD2S- λαμβάνω
ἐπὶ P--------- ἐπί
Σορ N---ASF--- Σορ
θρῆνον N2--ASM--- θρῆνος

Ezek 27:3
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
τῇ RA--DSF--- ὁ
Σορ N---DSF--- Σορ
τῇ RA--DSF--- ὁ
κατοικούσῃ V2--PAPDSF οἰκέω κατα
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
εἰσόδου N2--GSF--- εἴσοδος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
τῷ RA--DSN--- ὁ
ἐμπορίῳ N2N-DSN--- ἐμπόριον
τῶν RA--GPM--- ὁ
λαῶν N2--GPM--- λαός
ἀπὸ P--------- ἀπό
νήσων N2--GPF--- νήσος
πολλῶν A1--GPF--- πολύς
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
τῇ RA--DSF--- ὁ
Σορ N---DSF--- Σορ
σὺ RP--NS---- σύ
εἶπας VAI-AAI2S- εἶπον
ἐγὼ RP--NS---- ἐγώ
περιέθηκα VAI-AAI1S- τίθημι περι
ἐμαυτῇ RD--DSF--- ἐμαυτοῦ
κάλλος N3E-ASN--- κάλλος
μου RP--GS---- ἐγώ

Ezek 27:4
ἐν P--------- ἐν
καρδίᾳ N1A-DSF--- καρδία
θαλάσσης N1S-GSF--- θάλασσα
τῷ RA--DSM--- ὁ
Βεελιμ N---DSM--- Βεελιμ
υἱοί N2--NPM--- υἱός
σου RP--GS---- σύ
περιέθηκάν VAI-AAI3P- τίθημι περι
σοι RP--DS---- σύ
κάλλος N3E-ASN--- κάλλος

Ezek 27:5
κέδρος N2--NSF--- κέδρος
ἐκ P--------- ἐκ
Σανιρ N---GS---- Σανιρ
ᾠκοδομήθη VCI-API3S- οἰκοδομέω
σοι RP--DS---- σύ
ταινίαι N1A-NPF--- ταινία
σανίδων N3D-GPF--- σανίδος
κυπαρίσσου N2--GSF--- κυπάρισσος
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Λιβάνου N2--GSM--- Λίβανος
ἐλήμφθησαν VVI-API3P- λαμβάνω
τοῦ RA--GSN--- ὁ
ποιῆσαί VA--AAN--- ποιέω
σοι RP--DS---- σύ
ἱστοὺς N2--APM--- ἱστός
ἐλατίνους A1--APM--- ἐλάτινος

Ezek 27:6
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
Βασανίτιδος N3D-GSF--- Βασανίτις
ἐποίησαν VAI-AAI3P- ποιέω
τὰς RA--APF--- ὁ
κώπας N1--APF--- κώπη
σου RP--GS---- σύ
τὰ RA--APN--- ὁ
ἱερά A1A-APN--- ἱερός
σου RP--GS---- σύ
ἐποίησαν VAI-AAI3P- ποιέω
ἐξ P--------- ἐκ
ἐλέφαντος N3--GSM--- ἔλεφας
οἴκους N2--APM--- οἶκος
ἀλσώδεις A3H-APM--- ἀλσώδης
ἀπὸ P--------- ἀπό
νήσων N2--GPF--- νήσος
τῶν RA--GPM--- ὁ
Χεττιιν N---GPM--- Χεττιιν

Ezek 27:7
βύσσος N2--NSF--- βύσσος
μετὰ P--------- μετά
ποικιλίας N1A-GSF--- ποικιλία
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἐγένετό VBI-AMI3S- γίγνομαι
σοι RP--DS---- σύ
στρωμνὴ N1--NSF--- στρωμνή
τοῦ RA--GSN--- ὁ
περιθεῖναί VE--AAN--- τίθημι περι
σοι RP--DS---- σύ
δόξαν N1S-ASF--- δόξα
καὶ C--------- καί
περιβαλεῖν VF2-FAN--- βάλλω περι
σε RP--AS---- σύ
ὑάκινθον N2--ASF--- ὑάκινθος
καὶ C--------- καί
πορφύραν N1A-ASF--- πορφύρα
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
νήσων N2--GPF--- νήσος
Ελισαι N---GS---- Ελισαι
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
περιβόλαιά N2N-NPN--- περιβόλαιον
σου RP--GS---- σύ

Ezek 27:8
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄρχοντές N3--NPM--- ἄρχων
σου RP--GS---- σύ
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
Σιδῶνα N---ASF--- Σιδών
καὶ C--------- καί
Αράδιοι N2--NPM--- Αράδιος
ἐγένοντο VBI-AMI3P- γίγνομαι
κωπηλάται N1M-NPM--- κωπηλάτης
σου RP--GS---- σύ
οἱ RA--NPM--- ὁ
σοφοί A1--NPM--- σοφός
σου RP--GS---- σύ
Σορ N---VSF--- Σορ
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
σοί RP--DS---- σύ
οὗτοι RD--NPM--- οὗτος
κυβερνῆταί N1M-NPM--- κυβερνήτης
σου RP--GS---- σύ

Ezek 27:9
οἱ RA--NPM--- ὁ
πρεσβύτεροι A1A-NPMC-- πρεσβύτερος
Βυβλίων N---GP---- Βύβλιοι
καὶ C--------- καί
οἱ RA--NPM--- ὁ
σοφοὶ A1--NPM--- σοφός
αὐτῶν RD--GPM--- αὐτός
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
σοί RP--DS---- σύ
οὗτοι RD--NPM--- οὗτος
ἐνίσχυον V1--IAI3P- ἰσχύω ἐν
τὴν RA--ASF--- ὁ
βουλήν N1--ASF--- βουλή
σου RP--GS---- σύ
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
πλοῖα N2N-NPN--- πλοῖον
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κωπηλάται N1M-NPM--- κωπηλάτης
αὐτῶν RD--GPM--- αὐτός
ἐγένοντό VBI-AMI3P- γίγνομαι
σοι RP--DS---- σύ
ἐπὶ P--------- ἐπί
δυσμὰς N1--APF--- δυσμή
δυσμῶν N1--GPF--- δυσμή

Ezek 27:10
Πέρσαι N1M-NPM--- Πέρσης
καὶ C--------- καί
Λυδοὶ N2--NPM--- Λυδοί
καὶ C--------- καί
Λίβυες N3--NPM--- Λίβυες
ἦσαν V9--IAI3P- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
δυνάμει N3I-DSF--- δύναμις
σου RP--GS---- σύ
ἄνδρες N3--NPM--- ἀνήρ
πολεμισταί N1--NPM--- πολεμιστής
σου RP--GS---- σύ
πέλτας N1--APF--- πέλτη
καὶ C--------- καί
περικεφαλαίας N1A-APF--- περικεφαλαία
ἐκρέμασαν VAI-AAI3P- κρεμάζω
ἐν P--------- ἐν
σοί RP--DS---- σύ
οὗτοι RD--NPM--- οὗτος
ἔδωκαν VAI-AAI3P- δίδωμι
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
σου RP--GS---- σύ

Ezek 27:11
υἱοὶ N2--NPM--- υἱός
Αραδίων N2--GPM--- Αράδιος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
δύναμίς N3I-NSF--- δύναμις
σου RP--GS---- σύ
ἐπὶ P--------- ἐπί
τῶν RA--GPN--- ὁ
τειχέων N3E-GPN--- τεῖχος
σου RP--GS---- σύ
φύλακες N3K-NPM--- φύλαξ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
πύργοις N2--DPM--- πύργος
σου RP--GS---- σύ
ἦσαν V9--IAI3P- εἰμί
τὰς RA--APF--- ὁ
φαρέτρας N1A-APF--- φαρέτρα
αὐτῶν RD--GPM--- αὐτός
ἐκρέμασαν VAI-AAI3P- κρεμάζω
ἐπὶ P--------- ἐπί
τῶν RA--GPF--- ὁ
ὅρμων N1--GPF--- ὁρμή
σου RP--GS---- σύ
κύκλῳ N2--DSM--- κύκλος
οὗτοι RD--NPM--- οὗτος
ἐτελείωσάν VAI-AAI3P- τελειόω
σου RP--GS---- σύ
τὸ RA--ASN--- ὁ
κάλλος N3E-ASN--- κάλλος

Ezek 27:12
Καρχηδόνιοι N---NPM--- Καρχηδόνιοι
ἔμποροί N2--NPM--- ἔμπορος
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
πλήθους N3E-GSN--- πλῆθος
πάσης A1S-GSF--- πᾶς
ἰσχύος N3U-GSF--- ἰσχύς
σου RP--GS---- σύ
ἀργύριον N2N-ASN--- ἀργύριον
καὶ C--------- καί
χρυσίον N2N-ASN--- χρυσίον
καὶ C--------- καί
σίδηρον N2--ASM--- σίδηρος
καὶ C--------- καί
κασσίτερον N2--ASM--- κασσίτερος
καὶ C--------- καί
μόλυβον N2--ASM--- μόλιβος
ἔδωκαν VAI-AAI3P- δίδωμι
τὴν RA--ASF--- ὁ
ἀγοράν N1A-ASF--- ἀγορά
σου RP--GS---- σύ

Ezek 27:13
ἡ RA--NSF--- ὁ
Ἑλλὰς N3--NSF--- Ἑλλάς
καὶ C--------- καί
ἡ RA--NSF--- ὁ
σύμπασα A1S-NSF--- σύμπας
καὶ C--------- καί
τὰ RA--NPN--- ὁ
παρατείνοντα V1--PAPNPN τείνω παρα
οὗτοι RD--NPM--- οὗτος
ἐνεπορεύοντό V1I-IMI3P- πορεύομαι ἐν
σοι RP--DS---- σύ
ἐν P--------- ἐν
ψυχαῖς N1--DPF--- ψυχή
ἀνθρώπων N2--GPM--- ἄνθρωπος
καὶ C--------- καί
σκεύη N3E-APN--- σκεῦος
χαλκᾶ A1C-APN--- χαλκοῦς
ἔδωκαν VAI-AAI3P- δίδωμι
τὴν RA--ASF--- ὁ
ἐμπορίαν N1A-ASF--- ἐμπορία
σου RP--GS---- σύ

Ezek 27:14
ἐξ P--------- ἐκ
οἴκου N2--GSM--- οἶκος
Θεργαμα N---GS---- Θεργαμα
ἵππους N2--APM--- ἵππος
καὶ C--------- καί
ἱππεῖς N3V-APM--- ἱππεύς
ἔδωκαν VAI-AAI3P- δίδωμι
ἀγοράν N1A-ASF--- ἀγορά
σου RP--GS---- σύ

Ezek 27:15
υἱοὶ N2--NPM--- υἱός
Ῥοδίων N2--GPM--- Ῥόδιοι
ἔμποροί N2--NPM--- ἔμπορος
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
νήσων N2--GPF--- νήσος
ἐπλήθυναν VAI-AAI3P- πληθύνω
τὴν RA--ASF--- ὁ
ἐμπορίαν N1A-ASF--- ἐμπορία
σου RP--GS---- σύ
ὀδόντας N3--APM--- ὀδούς
ἐλεφαντίνους A1--APM--- ἐλεφάντινος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
εἰσαγομένοις V1--PMPDPM ἄγω εἰς
ἀντεδίδους V8I-IAI2S- δίδωμι ἀντι
τοὺς RA--APM--- ὁ
μισθούς N2--APM--- μισθός
σου RP--GS---- σύ

Ezek 27:16
ἀνθρώπους N2--APM--- ἄνθρωπος
ἐμπορίαν N1A-ASF--- ἐμπορία
σου RP--GS---- σύ
ἀπὸ P--------- ἀπό
πλήθους N3E-GSN--- πλῆθος
τοῦ RA--GSM--- ὁ
συμμίκτου A1B-GSM--- συμμικτός
σου RP--GS---- σύ
στακτὴν N1--ASF--- στακτή
καὶ C--------- καί
ποικίλματα N3M-APN--- ποίκιλμα
ἐκ P--------- ἐκ
Θαρσις N---GS---- Θαρσις
καὶ C--------- καί
Ραμωθ N---N----- Ραμωθ
καὶ C--------- καί
Χορχορ N---N----- Χορχορ
ἔδωκαν VAI-AAI3P- δίδωμι
τὴν RA--ASF--- ὁ
ἀγοράν N1A-ASF--- ἀγορά
σου RP--GS---- σύ

Ezek 27:17
Ιουδας N1T-NSM--- Ἰούδας
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
οὗτοι RD--NPM--- οὗτος
ἔμποροί N2--NPM--- ἔμπορος
σου RP--GS---- σύ
ἐν P--------- ἐν
σίτου N2--GSM--- σῖτος
πράσει N3E-DSF--- πρᾶσις
καὶ C--------- καί
μύρων N2N-GPN--- μύρον
καὶ C--------- καί
κασίας N1A-GSF--- κασία
καὶ C--------- καί
πρῶτον A1--ASNS-- πρῶτος
μέλι N3--ASN--- μέλι
καὶ C--------- καί
ἔλαιον N2N-ASN--- ἔλαιον
καὶ C--------- καί
ῤητίνην N1--ASF--- ῤητίνη
ἔδωκαν VAI-AAI3P- δίδωμι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
σύμμικτόν A1B-ASM--- συμμικτός
σου RP--GS---- σύ

Ezek 27:18
Δαμασκὸς N2--NS---- Δαμασκός
ἔμπορός N2--NSM--- ἔμπορος
σου RP--GS---- σύ
ἐκ P--------- ἐκ
πλήθους N3E-GSN--- πλῆθος
πάσης A1S-GSF--- πᾶς
δυνάμεώς N3I-GSF--- δύναμις
σου RP--GS---- σύ
οἶνος N2--NSM--- οἶνος
ἐκ P--------- ἐκ
Χελβων N---G----- Χελβων
καὶ C--------- καί
ἔρια N2N-APN--- ἔριον
ἐκ P--------- ἐκ
Μιλήτου N2--GS---- Μίλητος

Ezek 27:19
καὶ C--------- καί
οἶνον N2--ASM--- οἶνος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἀγοράν N1A-ASF--- ἀγορά
σου RP--GS---- σύ
ἔδωκαν VAI-AAI3P- δίδωμι
ἐξ P--------- ἐκ
Ασηλ N---GS---- Ασηλ
σίδηρος N2--NSM--- σίδηρος
εἰργασμένος VT--XMPNSM ἐργάζομαι
καὶ C--------- καί
τροχὸς N2--NSM--- τροχός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
συμμίκτῳ A1B-DSM--- συμμικτός
σού RP--GS---- σύ
ἐστιν V9--PAI3S- εἰμί

Ezek 27:20
Δαιδαν N---NS---- Δαιδαν
ἔμποροί N2--NPM--- ἔμπορος
σου RP--GS---- σύ
μετὰ P--------- μετά
κτηνῶν N3E-GPN--- κτῆνος
ἐκλεκτῶν A1--GPN--- ἐκλεκτός
εἰς P--------- εἰς
ἅρματα N3M-APN--- ἅρμα

Ezek 27:21
ἡ RA--NSF--- ὁ
Ἀραβία N1A-NSF--- Ἀραβία
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
Κηδαρ N---GS---- Κηδαρ
οὗτοι RD--NPM--- οὗτος
ἔμποροί N2--NPM--- ἔμπορος
σου RP--GS---- σύ
διὰ P--------- διά
χειρός N3--GSF--- χείρ
σου RP--GS---- σύ
καμήλους N2--APM--- κάμηλος
καὶ C--------- καί
κριοὺς N2--APM--- κριός
καὶ C--------- καί
ἀμνοὺς N2--APM--- ἀμνός
ἐν P--------- ἐν
οἷς RR--DPM--- ὅς
ἐμπορεύονταί V1--PMI3P- πορεύομαι ἐν
σε RP--AS---- σύ

Ezek 27:22
ἔμποροι N2--NPM--- ἔμπορος
Σαβα N---GS---- Σαβα
καὶ C--------- καί
Ραγμα N---GS---- Ραγμα
οὗτοι RD--NPM--- οὗτος
ἔμποροί N2--NPM--- ἔμπορος
σου RP--GS---- σύ
μετὰ P--------- μετά
πρώτων A1--GPNS-- πρῶτος
ἡδυσμάτων N3M-GPN--- ἥδυσμα
καὶ C--------- καί
λίθων N2--GPM--- λίθος
χρηστῶν A1--GPM--- χρηστός
καὶ C--------- καί
χρυσίον N2N-ASN--- χρυσίον
ἔδωκαν VAI-AAI3P- δίδωμι
τὴν RA--ASF--- ὁ
